Split,Eval Mode,Model,n_early,Features,R²,MAE,RMSE,MAPE,Cell R²,Train (s),Predict (s),n_train,n_test
ISU_only,combined,GradBoost,10,top5,0.9233377588440912,0.02503522139832381,0.040049796337827195,3.641349339434255,0.8803603297288382,125.88,0.74,201,50
ISU_only,combined,LightGBM,10,top10,0.9039052873449908,0.02853331821903495,0.044839349397118304,4.174505507250002,0.8476097944282711,13.86,1.0617,201,50
ISU_only,combined,XGBoost,10,top10,0.895747892812822,0.028899117842061672,0.046703774120138354,4.139234133365543,0.846904184404924,7.82,1.051,201,50
ISU_only,combined,GradBoost,10,top10,0.9150508267050785,0.027077153969091803,0.04215888678009489,3.8854722740297434,0.8642202479333109,161.19,0.7931,201,50
ISU_only,combined,LightGBM,10,top20,0.9026742416822298,0.028417043795279356,0.045125648311804024,4.06283326744655,0.8425761427790609,16.4,1.1108,201,50
ISU_only,combined,XGBoost,10,top20,0.8904344597672541,0.030069964479251872,0.04787916286939435,4.295014209041372,0.8387014414310425,12.57,1.1355,201,50
ISU_only,combined,GradBoost,10,top20,0.9140328643129954,0.027492131253981162,0.04241073359634018,3.93339103352724,0.8596257033944442,228.86,0.7482,201,50
ISU_only,combined,LightGBM,10,all,0.8982652930872712,0.029497018815433464,0.04613644479608638,4.237370079360684,0.8461466961446242,26.13,1.1337,201,50
ISU_only,combined,XGBoost,10,all,0.8929362790514459,0.02920226816178759,0.04732936990765444,4.174602199213762,0.8349546393972165,22.07,1.1019,201,50
ISU_only,combined,GradBoost,10,all,0.899476164367548,0.028917318812243454,0.04586105931088675,4.10872740088489,0.8409335476927605,324.44,0.8017,201,50
ISU_only,combined,LightGBM,15,top3,0.8739918843660588,0.03422740292067957,0.051260019608823135,5.034142511248853,0.8154938276594291,10.09,1.0737,201,50
ISU_only,combined,XGBoost,15,top3,0.8492498137456742,0.03812946781427661,0.05606714451529647,5.61702999552161,0.7896795020665724,4.48,0.9737,201,50
ISU_only,combined,GradBoost,15,top3,0.8749437196861687,0.03317317256886413,0.05106604961862971,4.903637110365746,0.8123361653168664,99.55,0.6129,201,50
ISU_only,combined,LightGBM,15,top5,0.916978081684985,0.02632564474831488,0.04160790905233376,3.7619967245039416,0.8621937997237122,12.49,1.0853,201,50
ISU_only,combined,XGBoost,15,top5,0.8992014460644127,0.028935459649619057,0.04584655002107675,4.150698626473852,0.8473423042106647,5.54,1.0081,201,50
ISU_only,combined,GradBoost,15,top5,0.923110989790547,0.025295467677887682,0.04004162044216226,3.6664092033702356,0.8700357187584907,125.33,0.7941,201,50
ISU_only,combined,LightGBM,15,top10,0.8930842780993804,0.029564411848244126,0.04721720719140292,4.264255543078105,0.8312918818227375,12.19,1.0938,201,50
ISU_only,combined,XGBoost,15,top10,0.8919416226479564,0.028851893839854224,0.04746885217207616,4.141973744132208,0.8321928117577851,7.74,1.0382,201,50
ISU_only,combined,GradBoost,15,top10,0.9164306994689296,0.026400227192093305,0.0417448488646713,3.7971736207274613,0.8629122070534967,160.93,0.7241,201,50
ISU_only,combined,LightGBM,15,top20,0.9012751527637498,0.028411080643565782,0.045372503692927044,4.073186116535851,0.8438459458543711,16.72,1.1404,201,50
ISU_only,combined,XGBoost,15,top20,0.8929179910923583,0.029350479184490255,0.0472539116038902,4.209467447831657,0.8330708822187799,12.3,1.019,201,50
ISU_only,combined,GradBoost,15,top20,0.9106515480680331,0.02781975656019485,0.04316413335191757,3.9660151283150737,0.8441617541486311,229.33,0.7285,201,50
ISU_only,combined,LightGBM,15,all,0.8857873390002049,0.030488130061816138,0.04880188919512745,4.373616969674022,0.8287611452687135,32.12,1.0684,201,50
ISU_only,combined,XGBoost,15,all,0.8855574523162018,0.030412397644932906,0.04885097860744538,4.38409438996175,0.8124571069882863,22.32,1.0457,201,50
ISU_only,combined,GradBoost,15,all,0.90255161883701,0.0286729056141765,0.045078226762841726,4.063617893063584,0.8396374813476801,324.55,0.7238,201,50
